EXPOSURE,max_blind,max_blind_95,rms_blind,rms_blind_95,max_corr,max_corr_95,rms_corr,rms_corr_95,environmentmonitor_telescope,telescope_timestamp,mirror_avg_temp,mirror_desired_temp,servo_setpoint,air_temp,air_dewpoint,air_flow,probe1_humidity,probe1_temp,probe2_humidity,probe2_temp,flowrate_in,flowrate_out,mirror_rtd_temp,mirror_nib_temp,mirror_eib_temp,mirror_sib_temp,mirror_wib_temp,mirror_nob_temp,mirror_eob_temp,mirror_sob_temp,mirror_wob_temp,mirror_nit_temp,mirror_eit_temp,mirror_sit_temp,mirror_wit_temp,mirror_not_temp,mirror_eot_temp,mirror_sot_temp,mirror_wot_temp,glycol_in_temp,glycol_out_temp,air_in_temp,air_out_temp,truss_ntt_temp,truss_ett_temp,truss_stt_temp,truss_wtt_temp,truss_ntb_temp,truss_etb_temp,truss_stb_temp,truss_wtb_temp,truss_sts_temp,truss_tsb_temp,truss_tsm_temp,truss_tst_temp,topring_s_temp,topring_w_temp,hinge_s_temp,hinge_w_temp,chimney_os_temp,chimney_ow_temp,chimney_ib_temp,chimney_im_temp,chimney_it_temp,centersection_i_temp,centersection_o_temp,primarycell_i_temp,primarycell_o_temp,casscage_i_temp,casscage_o_temp,decbore_temp,mirror_status,time_recorded,dos_instance,row_status,row_status_time,row_status_user,mirror_temp,truss_temp,EXPID,environmentmonitor_tower,tower_timestamp,wind_speed,wind_direction,humidity,pressure,temperature,dewpoint,split,gust,time_recorded,dos_instance,row_status,row_status_time,row_status_user,EXPID,fvc_camerastatus,controller_open,reset,initialized,shutter_open,fan_on,temp_degc,exptime_sec,psf_pixels,last_updated,time_recorded,dos_instance,row_status,row_status_time,row_status_user,EXPID,guider_summary,duration,expid,seeing,frames,meanx,meany,meanx2,meany2,meanxy,maxx,maxy,time_recorded,dos_instance,row_status,row_status_time,row_status_user,EXPID,guider_centroids,combined_x,combined_y,time_recorded,dos_instance,row_status,row_status_time,row_status_user,EXPID
50988.0,4540.789578916865,1734.8976884928231,685.7549551356102,1734.8976884928231,4796.0297121681815,9.219544457292887,293.042318528281,9.219544457292887,4521178,2020-02-20 03:32:48,8.634,7.0,40.0,9.105,-1.62,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,8.5,8.7,8.8,8.5,8.7,8.7,8.8,8.5,8.4,8.7,8.8,8.5,8.9,8.7,8.8,8.6,9.0,9.3,11.2,11.3,11.5,11.2,10.7,11.4,10.7,10.3,10.8,10.5,11.3,10.3,10.4,11.1,9.9,9.8,10.1,10.2,21.7,21.6,21.6,21.6,21.7,9.0,10.1,8.5,8.4,10.6,10.2,9.1,ready,2020-02-20 03:32:49.419295+00:00,extern,M,2020-02-20 03:32:49.421313+00:00,desi_writer,8.675,10.6,50988,4521171,2020-02-20 03:31:09,10.2,286.4,41.0,792.4,8.8,-3.8,12.6,117.6,2020-02-20 03:32:44.347425+00:00,extern,M,2020-02-20 03:32:44.348491+00:00,desi_writer,50988,868372,1,1,1,0,1,-10.0,2.0,2.651,2020-02-20T03:40:59.722149,2020-02-20 03:40:59.722770+00:00,extern,M,2020-02-20 03:40:59.723408+00:00,desi_writer,50988,9308,231.594,50986.0,0.24,23.0,-0.062,0.017,0.01,0.002,-0.001,0.141,0.094,2020-02-20 03:16:33.253000+00:00,desi_20200219,M,2020-02-20 03:16:33.253841+00:00,desi_writer,50988,92440,-1.6000854373154,-0.626160101906676,2020-02-20 03:31:47.286709+00:00,desi_20200219,M,2020-02-20 03:31:47.287792+00:00,desi_writer,50988
50991.0,4286.768946421069,117.27744881263405,312.5133957035156,117.27744881263405,914.265825676537,12.369316876852983,26.00432299488024,12.369316876852983,4537018,2020-02-21 05:59:36,10.761,8.0,40.0,10.575,-0.89,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,10.3,10.5,10.6,10.3,10.7,10.5,10.3,10.4,10.6,10.7,10.7,10.8,11.0,10.8,10.8,10.8,12.3,12.0,12.3,12.2,11.5,11.7,11.5,11.4,11.3,11.5,11.6,11.2,12.0,12.1,12.0,12.1,11.6,11.2,12.0,11.7,21.7,21.6,21.6,21.6,21.7,11.2,11.7,10.5,10.5,10.6,11.6,11.0,ready,2020-02-21 05:59:36.898132+00:00,extern,M,2020-02-21 05:59:36.900000+00:00,desi_writer,10.775,12.067,51135,4537011,2020-02-21 05:57:02,14.7,103.4,43.4,794.4,10.4,-1.6,12.0,117.6,2020-02-21 05:59:31.826940+00:00,extern,M,2020-02-21 05:59:31.827720+00:00,desi_writer,51135,871552,1,1,1,0,1,-10.0,2.0,2.661,2020-02-21T06:14:13.202336,2020-02-21 06:14:13.206404+00:00,extern,M,2020-02-21 06:14:13.207167+00:00,desi_writer,51135,9343,178.738,51135.0,0.22,17.0,-0.001,-0.006,0.015,0.007,-0.004,0.158,0.123,2020-02-21 06:05:26.183650+00:00,desi_20200220,M,2020-02-21 06:05:26.184254+00:00,desi_writer,51135,94606,0.715976031473902,-0.389582553678335,2020-02-21 06:02:37.418345+00:00,desi_20200220,M,2020-02-21 06:02:37.419395+00:00,desi_writer,51135
50995.0,4016.058391009772,119.37235899752935,300.3606459538873,119.37235899752935,1282.0764407787858,17.088007490635064,47.561178997308275,17.088007490635064,4650538,2020-02-29 03:26:36,8.644,7.2,40.0,9.41,-8.41,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,8.2,8.1,8.3,8.1,8.8,8.6,7.9,8.2,8.4,8.6,8.5,8.5,9.2,8.6,8.6,8.9,9.2,9.1,10.6,10.7,11.6,11.7,10.2,11.2,10.9,10.5,10.7,10.7,11.5,10.6,10.7,11.1,10.3,10.1,10.5,10.1,21.7,21.6,21.6,21.6,21.7,9.0,10.3,8.2,8.3,10.6,10.2,9.2,ready,2020-02-29 03:26:37.363642+00:00,extern,M,2020-02-29 03:26:37.365895+00:00,desi_writer,8.663,10.8,52620,4650531,2020-02-29 03:24:11,10.0,203.9,23.0,794.8,9.3,-10.8,20.1,117.6,2020-02-29 03:26:32.290293+00:00,extern,M,2020-02-29 03:26:32.291592+00:00,desi_writer,52620,894232,1,1,1,0,1,-10.0,2.0,2.657,2020-02-29T03:40:18.290768,2020-02-29 03:40:18.291503+00:00,extern,M,2020-02-29 03:40:18.292276+00:00,desi_writer,52620,9435,732.74,52620.0,0.43,73.0,-0.013,0.063,0.043,0.019,0.005,0.362,0.392,2020-02-29 03:39:42.584794+00:00,desi_20200228,M,2020-02-29 03:39:42.585464+00:00,desi_writer,52620,99542,-1.30483634102446,-0.437854186546142,2020-02-29 03:27:40.263086+00:00,desi_20200228,M,2020-02-29 03:27:40.263711+00:00,desi_writer,52620
51039.0,4409.475479011081,138.34139985527312,354.0632918839312,138.34139985527312,4827.270243108417,13.416407864998739,132.03893336949236,13.416407864998739,4724038,2020-03-05 07:08:26,5.923,3.0,40.0,8.44,-3.47,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,5.8,5.6,5.4,5.4,6.7,5.7,5.2,5.6,5.7,5.4,5.3,5.4,7.2,5.9,6.0,6.6,8.4,8.6,8.9,9.3,8.6,8.4,8.6,8.2,8.3,8.0,8.3,8.2,9.1,9.9,9.8,9.4,9.0,8.8,9.6,8.5,21.7,21.6,21.6,21.6,21.7,5.9,8.0,5.3,5.5,10.6,7.8,6.4,ready,2020-03-05 07:08:26.414839+00:00,extern,M,2020-03-05 07:08:26.416782+00:00,desi_writer,5.938,9.7,53084,4724031,2020-03-05 07:07:12,14.4,104.9,24.0,794.1,8.9,-10.6,19.5,117.6,2020-03-05 07:08:21.364646+00:00,extern,M,2020-03-05 07:08:21.365786+00:00,desi_writer,53084,908992,1,1,1,0,1,-10.0,2.0,2.655,2020-03-05T06:57:56.633683,2020-03-05 06:57:56.634294+00:00,extern,M,2020-03-05 06:57:56.634887+00:00,desi_writer,53084,9478,664.142,53083.0,0.25,66.0,-0.024,0.024,0.011,0.01,-0.004,0.187,0.44,2020-03-05 07:07:46.494175+00:00,desi_20200304,M,2020-03-05 07:07:46.494925+00:00,desi_writer,53084,103820,0.127624136633748,2.62560115386842,2020-03-05 07:10:41.829555+00:00,desi_20200304,M,2020-03-05 07:10:41.830156+00:00,desi_writer,53084
50996.0,4028.4570247180245,122.53305118316769,302.23656975312196,122.53305118316769,1278.136925372239,10.04987562112089,50.38434267463422,10.04987562112089,4421698,2020-02-13 05:00:59,4.374,3.0,40.0,3.328,-7.723,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.4,4.5,4.6,4.4,4.4,4.3,4.3,4.2,4.3,4.4,4.4,4.2,4.5,4.4,4.4,4.3,6.9,7.3,7.2,7.1,4.4,4.5,4.2,4.4,3.7,4.5,4.6,4.0,4.9,5.1,4.6,4.8,3.9,3.4,4.9,4.8,21.7,21.6,21.6,21.6,21.7,4.2,4.3,3.8,3.8,10.6,4.5,4.6,ready,2020-02-13 05:00:59.800587+00:00,extern,M,2020-02-13 05:00:59.802478+00:00,desi_writer,4.362,4.833,48316,4421691,2020-02-13 04:58:44,3.5,229.3,25.0,789.4,2.9,-15.3,18.2,99.9,2020-02-13 05:00:54.742715+00:00,extern,M,2020-02-13 05:00:54.743907+00:00,desi_writer,48316,848512,1,1,1,0,1,-10.0,2.0,2.639,2020-02-13T05:17:28.002292,2020-02-13 05:17:28.003856+00:00,extern,M,2020-02-13 05:17:28.006251+00:00,desi_writer,48316,9024,188.391,48315.0,0.23,18.0,0.005,0.005,0.008,0.004,-0.002,0.163,0.121,2020-02-13 05:02:01.221675+00:00,desi_20200212,M,2020-02-13 05:02:01.222472+00:00,desi_writer,48316,82304,0.914419036346065,-0.376568991662926,2020-02-13 05:03:54.319736+00:00,desi_20200212,M,2020-02-13 05:03:54.321123+00:00,desi_writer,48316
51001.0,4026.159584517236,129.61831849396617,301.5151137216167,129.61831849396617,3891.4476740668115,10.44030650891055,77.840780356641,10.44030650891055,4623298,2020-02-27 06:00:16,4.814,0.0,40.0,5.09,-16.61,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.6,4.7,4.6,4.5,4.5,4.3,4.0,4.1,5.0,4.9,4.8,4.8,4.9,4.8,4.7,4.7,8.2,8.0,8.0,8.3,5.6,5.4,5.6,5.6,5.3,5.0,5.4,5.1,5.9,6.6,6.6,6.3,5.8,5.5,6.3,4.4,21.7,21.6,21.6,21.6,21.7,4.7,5.5,3.9,3.9,10.6,5.4,4.9,ready,2020-02-27 06:00:16.731884+00:00,extern,M,2020-02-27 06:00:16.733748+00:00,desi_writer,4.825,6.5,52304,4623291,2020-02-27 05:58:53,33.7,64.5,9.8,794.4,7.0,-22.9,29.9,117.6,2020-02-27 06:00:11.678287+00:00,extern,M,2020-02-27 06:00:11.679335+00:00,desi_writer,52304,888772,1,1,1,0,1,-10.0,2.0,2.65,2020-02-27T06:05:09.208288,2020-02-27 06:05:09.208957+00:00,extern,M,2020-02-27 06:05:09.209647+00:00,desi_writer,52304,9403,624.398,52303.0,0.55,62.0,0.036,-0.027,0.058,0.066,0.009,0.541,0.705,2020-02-27 05:53:40.916298+00:00,desi_20200226,M,2020-02-27 05:53:40.917188+00:00,desi_writer,52304,97167,0.593095840051101,-0.297815676917576,2020-02-27 05:59:55.518231+00:00,desi_20200226,M,2020-02-27 05:59:55.518795+00:00,desi_writer,52304
51002.0,4037.080752226787,132.73561575685918,307.0899913712884,132.73561575685918,1287.1557792279846,12.0,44.9971647833384,12.0,4537078,2020-02-21 06:05:28,10.805,8.0,40.0,10.852,-1.94,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,10.3,10.5,10.7,10.3,10.7,10.6,10.3,10.4,10.7,10.7,10.7,10.8,11.0,10.8,10.9,10.8,12.1,12.0,12.3,12.2,11.5,11.5,11.5,11.4,11.4,11.4,11.6,11.3,12.0,12.3,12.2,12.2,11.9,11.5,12.2,11.7,21.7,21.6,21.6,21.6,21.7,11.2,11.7,10.5,10.5,10.6,11.6,10.9,ready,2020-02-21 06:05:28.750705+00:00,extern,M,2020-02-21 06:05:28.752501+00:00,desi_writer,10.8,12.233,51136,4537071,2020-02-21 06:03:14,12.8,100.2,36.8,794.5,11.0,-3.3,14.3,117.6,2020-02-21 06:05:23.681254+00:00,extern,M,2020-02-21 06:05:23.682276+00:00,desi_writer,51136,871552,1,1,1,0,1,-10.0,2.0,2.661,2020-02-21T06:14:13.202336,2020-02-21 06:14:13.206404+00:00,extern,M,2020-02-21 06:14:13.207167+00:00,desi_writer,51136,9343,178.738,51135.0,0.22,17.0,-0.001,-0.006,0.015,0.007,-0.004,0.158,0.123,2020-02-21 06:05:26.183650+00:00,desi_20200220,M,2020-02-21 06:05:26.184254+00:00,desi_writer,51136,94623,0.388586148629567,-0.8701233953013,2020-02-21 06:07:21.051953+00:00,desi_20200220,M,2020-02-21 06:07:21.053077+00:00,desi_writer,51136
51052.0,4238.698974921432,150.93752438112998,322.96428136831,150.93752438112998,4358.976141251521,9.848857801796104,139.6106413809545,9.848857801796104,4724218,2020-03-05 07:26:13,5.899,3.0,40.0,8.293,-3.117,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,5.8,5.6,5.3,5.4,6.7,5.8,5.2,5.6,5.8,5.4,5.4,5.5,7.1,5.9,6.0,6.6,8.6,8.7,9.0,9.3,8.5,8.3,8.5,8.3,8.4,8.1,8.4,8.2,9.1,9.7,9.6,9.5,9.0,8.7,9.4,8.3,21.7,21.6,21.6,21.6,21.7,6.0,8.0,5.4,5.6,10.6,8.0,6.5,ready,2020-03-05 07:26:13.199953+00:00,extern,M,2020-03-05 07:26:13.201904+00:00,desi_writer,5.963,9.6,53085,4724211,2020-03-05 07:23:47,11.5,104.7,26.0,794.1,8.7,-9.8,18.5,117.6,2020-03-05 07:26:08.139096+00:00,extern,M,2020-03-05 07:26:08.140170+00:00,desi_writer,53085,909052,1,1,1,0,1,-10.0,2.0,2.638,2020-03-05T07:28:01.752862,2020-03-05 07:28:01.753297+00:00,extern,M,2020-03-05 07:28:01.753991+00:00,desi_writer,53085,9479,663.208,53084.0,0.24,66.0,-0.005,0.016,0.011,0.012,-0.001,0.216,0.578,2020-03-05 07:21:34.691086+00:00,desi_20200304,M,2020-03-05 07:21:34.691788+00:00,desi_writer,53085,103886,0.42339531645924,0.627692556152306,2020-03-05 07:24:32.612424+00:00,desi_20200304,M,2020-03-05 07:24:32.613775+00:00,desi_writer,53085
51060.0,4236.4817950747765,166.27191361520462,325.95295462863805,166.27191361520462,4383.796528124909,11.661903789690601,136.79137780171743,11.661903789690601,4437538,2020-02-14 07:23:00,5.24,4.4,40.0,5.035,-5.213,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,5.1,5.2,5.3,5.1,5.4,5.3,5.2,5.2,5.0,5.1,5.0,5.0,5.4,5.5,5.5,5.3,7.9,7.9,8.0,8.4,5.7,5.6,5.6,5.5,5.5,5.5,5.7,5.5,5.9,6.3,6.3,6.2,5.8,5.7,6.1,6.0,21.7,21.6,21.6,21.6,21.7,5.3,5.9,5.0,5.0,10.6,5.9,5.5,ready,2020-02-14 07:23:01.079277+00:00,extern,M,2020-02-14 07:23:01.080897+00:00,desi_writer,5.225,6.267,48478,4437531,2020-02-14 07:20:17,31.0,122.8,45.2,789.4,5.0,-5.9,10.9,99.9,2020-02-14 07:22:58.188977+00:00,extern,M,2020-02-14 07:22:58.189936+00:00,desi_writer,48478,851632,1,1,1,0,1,-10.0,2.0,2.629,2020-02-14T07:21:09.049432,2020-02-14 07:21:09.051343+00:00,extern,M,2020-02-14 07:21:09.053370+00:00,desi_writer,48478,9097,206.402,48477.0,0.22,20.0,-0.052,-0.015,0.008,0.006,-0.001,0.16,0.185,2020-02-14 07:21:13.590598+00:00,desi_20200213,M,2020-02-14 07:21:13.591268+00:00,desi_writer,48478,84272,0.866376656116124,-0.331759591069728,2020-02-14 07:23:11.443252+00:00,desi_20200213,M,2020-02-14 07:23:11.444577+00:00,desi_writer,48478
51073.0,4232.893218591747,162.53430167151402,325.92605016333357,162.53430167151402,4345.244066793026,10.0,136.13819162411278,10.0,4724338,2020-03-05 07:38:14,5.964,3.0,40.0,8.105,-3.003,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,5.7,5.6,5.4,5.4,6.7,5.7,5.2,5.6,5.7,5.5,5.3,5.5,7.1,5.9,6.1,6.6,8.7,8.7,9.1,9.3,8.5,8.2,8.4,8.2,8.3,8.1,8.3,8.1,9.2,9.5,9.5,9.3,8.9,8.6,9.2,7.9,21.7,21.6,21.6,21.6,21.7,6.0,8.0,5.4,5.6,10.6,8.0,6.5,ready,2020-03-05 07:38:14.519489+00:00,extern,M,2020-03-05 07:38:14.521373+00:00,desi_writer,5.963,9.433,53086,4724331,2020-03-05 07:36:17,10.2,107.7,33.8,794.1,8.4,-6.7,15.1,117.6,2020-03-05 07:38:09.450456+00:00,extern,M,2020-03-05 07:38:09.451734+00:00,desi_writer,53086,909052,1,1,1,0,1,-10.0,2.0,2.638,2020-03-05T07:28:01.752862,2020-03-05 07:28:01.753297+00:00,extern,M,2020-03-05 07:28:01.753991+00:00,desi_writer,53086,9480,661.491,53085.0,0.21,65.0,0.021,-0.023,0.009,0.007,0.002,0.242,0.289,2020-03-05 07:35:23.659502+00:00,desi_20200304,M,2020-03-05 07:35:23.660261+00:00,desi_writer,53086,103951,0.638592204998297,-0.0640215177012064,2020-03-05 07:38:59.669484+00:00,desi_20200304,M,2020-03-05 07:38:59.670700+00:00,desi_writer,53086
