EXPOSURE,max_blind,max_blind_95,rms_blind,rms_blind_95,max_corr,max_corr_95,rms_corr,rms_corr_95,environmentmonitor_telescope,telescope_timestamp,mirror_avg_temp,mirror_desired_temp,servo_setpoint,air_temp,air_dewpoint,air_flow,probe1_humidity,probe1_temp,probe2_humidity,probe2_temp,flowrate_in,flowrate_out,mirror_rtd_temp,mirror_nib_temp,mirror_eib_temp,mirror_sib_temp,mirror_wib_temp,mirror_nob_temp,mirror_eob_temp,mirror_sob_temp,mirror_wob_temp,mirror_nit_temp,mirror_eit_temp,mirror_sit_temp,mirror_wit_temp,mirror_not_temp,mirror_eot_temp,mirror_sot_temp,mirror_wot_temp,glycol_in_temp,glycol_out_temp,air_in_temp,air_out_temp,truss_ntt_temp,truss_ett_temp,truss_stt_temp,truss_wtt_temp,truss_ntb_temp,truss_etb_temp,truss_stb_temp,truss_wtb_temp,truss_sts_temp,truss_tsb_temp,truss_tsm_temp,truss_tst_temp,topring_s_temp,topring_w_temp,hinge_s_temp,hinge_w_temp,chimney_os_temp,chimney_ow_temp,chimney_ib_temp,chimney_im_temp,chimney_it_temp,centersection_i_temp,centersection_o_temp,primarycell_i_temp,primarycell_o_temp,casscage_i_temp,casscage_o_temp,decbore_temp,mirror_status,time_recorded,dos_instance,row_status,row_status_time,row_status_user,mirror_temp,truss_temp,EXPID,environmentmonitor_tower,tower_timestamp,wind_speed,wind_direction,humidity,pressure,temperature,dewpoint,split,gust,time_recorded,dos_instance,row_status,row_status_time,row_status_user,EXPID,fvc_camerastatus,controller_open,reset,initialized,shutter_open,fan_on,temp_degc,exptime_sec,psf_pixels,last_updated,time_recorded,dos_instance,row_status,row_status_time,row_status_user,EXPID,guider_summary,duration,expid,seeing,frames,meanx,meany,meanx2,meany2,meanxy,maxx,maxy,time_recorded,dos_instance,row_status,row_status_time,row_status_user,EXPID,guider_centroids,combined_x,combined_y,time_recorded,dos_instance,row_status,row_status_time,row_status_user,EXPID
47609.0,621.7209985194324,211.7525396865946,105.97363901542737,211.7525396865946,288.7213189218974,12.369316876852983,9.497015185135306,12.369316876852983,4131778,2020-01-24 03:02:50,7.533,4.0,40.0,9.097,-3.013,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,7.2,7.3,7.4,7.1,7.1,6.8,6.8,6.6,7.5,7.5,7.5,7.7,7.7,7.5,7.5,7.5,3.7,4.6,9.3,9.2,10.5,10.4,10.2,10.4,9.6,9.5,9.9,9.3,10.6,10.4,10.3,10.6,9.9,9.8,10.0,8.4,21.7,21.6,21.6,21.6,21.7,7.3,9.2,6.5,6.5,10.6,8.8,7.2,ready,2020-01-24 03:02:50.714640+00:00,extern,M,2020-01-24 03:02:50.716380+00:00,desi_writer,7.55,10.433,43416,4131771,2020-01-24 03:00:41,12.9,108.2,86.3,790.4,9.2,-5.5,14.7,99.9,2020-01-24 03:02:45.642451+00:00,extern,M,2020-01-24 03:02:45.643481+00:00,desi_writer,43416,790792,1,1,1,0,1,-10.0,0.5,2.149,2020-01-24T03:03:47.280215,2020-01-24 03:03:47.282086+00:00,extern,M,2020-01-24 03:03:47.283996+00:00,desi_writer,43416,8180,,,,,,,,,,,,2020-01-24 03:01:35.609181+00:00,desi_20200123,M,2020-01-24 03:01:35.609965+00:00,desi_writer,43416,62696,-0.0810831736885879,-0.306361068970912,2020-01-24 03:02:20.741278+00:00,desi_20200123,M,2020-01-24 03:02:20.742744+00:00,desi_writer,43416
47652.0,718.1991367301969,200.35640041743213,104.16217661005639,200.35640041743213,281.61853632174143,27.784887978899608,18.870053114798445,27.784887978899608,4466758,2020-02-16 07:09:13,6.93,3.3,40.0,7.263,-10.39,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,6.8,6.9,7.0,6.7,6.9,6.7,6.5,6.5,6.9,6.9,6.9,6.8,7.1,6.9,6.9,6.8,9.5,9.4,9.6,9.8,7.7,7.7,7.7,7.6,7.4,7.7,7.9,7.1,8.2,8.6,8.4,8.6,8.2,7.3,8.5,7.4,21.7,21.6,21.6,21.6,21.7,7.4,8.1,6.6,6.5,10.6,8.1,7.5,ready,2020-02-16 07:09:14.000013+00:00,extern,M,2020-02-16 07:09:14.001962+00:00,desi_writer,6.9,8.533,49413,4466751,2020-02-16 07:06:27,18.9,245.3,14.2,793.7,8.2,-17.6,25.8,99.9,2020-02-16 07:09:08.941625+00:00,extern,M,2020-02-16 07:09:08.942733+00:00,desi_writer,49413,857332,1,1,1,0,1,-10.0,2.0,2.649,2020-02-16T06:58:53.260054,2020-02-16 06:58:53.261758+00:00,extern,M,2020-02-16 06:58:53.264279+00:00,desi_writer,49413,9170,764.492,49412.0,,74.0,-0.001,0.015,0.008,0.009,0.0,0.199,0.216,2020-02-16 07:03:17.249928+00:00,desi_20200215,M,2020-02-16 07:03:17.250540+00:00,desi_writer,49413,85972,-0.269212640921733,0.326063210367726,2020-02-16 07:06:46.527769+00:00,desi_20200215,M,2020-02-16 07:06:46.529102+00:00,desi_writer,49413
47653.0,809.5344341039485,197.5877019283399,102.76991935980415,197.5877019283399,187.17104476921637,16.278820596099706,11.094535323895913,16.278820596099706,4238578,2020-01-31 12:22:28,3.896,4.4,40.0,1.895,-9.563,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.3,4.3,4.3,4.4,4.3,4.2,4.4,4.4,3.8,3.8,3.9,3.9,4.1,4.0,4.0,4.0,5.6,5.4,5.1,5.0,2.4,2.5,2.6,2.5,2.6,2.9,2.9,2.7,3.1,3.3,3.2,3.2,2.4,2.3,3.0,3.7,21.7,21.6,21.6,21.6,21.7,3.4,3.0,3.8,3.6,10.6,3.3,4.3,ready,2020-01-31 12:22:29.129076+00:00,extern,M,2020-01-31 12:22:29.130796+00:00,desi_writer,3.938,3.233,45392,4238571,2020-01-31 12:21:36,40.7,90.3,34.8,791.4,1.9,-12.0,13.9,99.9,2020-01-31 12:22:24.052526+00:00,extern,M,2020-01-31 12:22:24.053532+00:00,desi_writer,45392,812032,1,1,1,0,1,-10.0,2.0,2.07,2020-01-31T12:28:15.553714,2020-01-31 12:28:15.554354+00:00,extern,M,2020-01-31 12:28:15.554858+00:00,desi_writer,45392,8744,2418.988,45385.0,,241.0,0.004,0.004,0.011,0.009,0.0,0.33,0.307,2020-01-31 12:08:31.010860+00:00,desi_20200130,M,2020-01-31 12:08:31.011549+00:00,desi_writer,45392,74367,0.224791585151193,-0.482613752739009,2020-01-31 12:22:47.273012+00:00,desi_20200130,M,2020-01-31 12:22:47.274229+00:00,desi_writer,45392
47656.0,808.3594497499241,194.48727463422028,100.94190931371023,194.48727463422028,316.36213427020624,31.000806241927076,26.47073342884306,31.000806241927076,4608718,2020-02-26 05:42:13,3.308,3.0,40.0,-0.308,-11.3,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.2,4.0,4.1,4.2,4.6,4.7,4.6,4.4,3.1,3.2,3.4,3.0,3.6,3.4,3.3,3.4,6.9,7.1,7.3,7.9,1.7,1.9,1.1,1.7,1.7,2.2,2.2,1.9,2.4,1.1,1.0,1.4,0.1,0.0,1.0,3.2,21.7,21.6,21.6,21.6,21.7,2.7,2.2,3.8,3.6,10.6,3.1,4.0,ready,2020-02-26 05:42:14.466905+00:00,extern,M,2020-02-26 05:42:14.468820+00:00,desi_writer,3.3,1.167,52088,4608711,2020-02-26 05:39:53,37.6,52.7,25.9,793.6,-1.4,-18.5,17.1,117.6,2020-02-26 05:42:09.390437+00:00,extern,M,2020-02-26 05:42:09.391603+00:00,desi_writer,52088,885832,1,1,1,0,1,-10.0,2.0,2.65,2020-02-26T05:32:31.548301,2020-02-26 05:32:31.548948+00:00,extern,M,2020-02-26 05:32:31.549574+00:00,desi_writer,52088,9391,466.226,52087.0,,46.0,0.017,0.035,0.065,0.05,-0.009,0.656,0.421,2020-02-26 05:33:17.629029+00:00,desi_20200225,M,2020-02-26 05:33:17.629741+00:00,desi_writer,52088,96290,-1.01742213194099,0.529276773595713,2020-02-26 05:40:26.688998+00:00,desi_20200225,M,2020-02-26 05:40:26.689530+00:00,desi_writer,52088
47663.0,886.9210787888627,219.63581672185887,118.29411649046493,219.63581672185887,138.57849761056008,31.016124838541646,17.29061988352589,31.016124838541646,4507798,2020-02-19 05:36:11,9.231,6.0,40.0,9.4,-2.37,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,8.8,9.0,9.2,8.9,9.2,9.0,8.8,8.7,9.1,9.4,9.2,9.2,9.4,9.3,9.4,9.2,10.2,10.2,11.2,10.9,10.5,10.4,10.3,10.3,10.3,10.2,10.3,10.1,10.7,10.7,10.7,10.8,10.3,10.1,10.6,10.3,21.7,21.6,21.6,21.6,21.7,9.6,10.4,8.9,8.9,10.6,10.4,9.5,ready,2020-02-19 05:36:11.695104+00:00,extern,M,2020-02-19 05:36:11.697340+00:00,desi_writer,9.275,10.733,49773,4507791,2020-02-19 05:35:36,22.7,161.2,39.0,790.7,9.6,-3.7,13.3,117.6,2020-02-19 05:36:06.617822+00:00,extern,M,2020-02-19 05:36:06.619175+00:00,desi_writer,49773,865732,1,1,1,0,1,-10.0,0.0,2.658,2020-02-19T05:36:49.277396,2020-02-19 05:36:49.277929+00:00,extern,M,2020-02-19 05:36:49.278643+00:00,desi_writer,49773,9293,1074.945,49772.0,0.22,107.0,-0.068,0.011,0.008,0.004,-0.001,0.2,0.158,2020-02-19 05:32:37.587239+00:00,desi_20200218,M,2020-02-19 05:32:37.588028+00:00,desi_writer,49773,91430,0.702213574038492,-1.03716058899119,2020-02-19 05:38:15.566638+00:00,desi_20200218,M,2020-02-19 05:38:15.567937+00:00,desi_writer,49773
47672.0,874.4381052996262,221.42524170739293,115.65539294463849,221.42524170739293,212.70872102478546,26.248809496813376,14.503068687333991,26.248809496813376,4131958,2020-01-24 03:20:45,7.648,4.0,40.0,9.18,-2.03,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,7.3,7.4,7.4,7.1,7.1,7.0,6.8,6.8,7.6,7.6,7.8,7.8,7.8,7.6,7.6,7.6,5.1,5.8,9.6,9.5,10.5,10.3,10.2,10.3,9.7,9.4,9.8,9.3,10.6,10.5,10.6,10.6,10.1,9.8,10.4,8.7,21.7,21.6,21.6,21.6,21.7,7.5,9.3,6.6,6.6,10.6,8.9,7.4,ready,2020-01-24 03:20:46.254855+00:00,extern,M,2020-01-24 03:20:46.256921+00:00,desi_writer,7.675,10.567,43419,4131951,2020-01-24 03:19:21,16.6,102.5,86.3,790.0,9.2,-7.4,16.6,99.9,2020-01-24 03:20:41.191826+00:00,extern,M,2020-01-24 03:20:41.192800+00:00,desi_writer,43419,790852,1,1,1,0,1,-10.0,0.5,2.159,2020-01-24T03:33:51.863856,2020-01-24 03:33:51.865341+00:00,extern,M,2020-01-24 03:33:51.867610+00:00,desi_writer,43419,8186,,,,,,,,,,,,2020-01-24 03:21:30.368029+00:00,desi_20200123,M,2020-01-24 03:21:30.369072+00:00,desi_writer,43419,62733,-0.235967542355902,0.110787327697269,2020-01-24 03:22:16.475883+00:00,desi_20200123,M,2020-01-24 03:22:16.476579+00:00,desi_writer,43419
47675.0,877.5648124212821,221.92476165200202,117.98538814717404,221.92476165200202,208.58091954922438,16.76305461424021,9.616181872046269,16.76305461424021,4466878,2020-02-16 07:21:19,6.926,3.3,40.0,7.323,-10.417,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,6.8,7.0,7.0,6.7,6.9,6.8,6.5,6.5,7.0,6.9,6.8,6.8,7.1,6.9,6.9,6.8,9.5,9.4,9.6,9.8,7.7,7.7,7.9,7.6,7.4,7.8,7.9,7.1,8.2,8.9,8.7,8.6,8.3,7.5,8.7,7.5,21.7,21.6,21.6,21.6,21.7,7.5,8.1,6.6,6.6,10.6,8.2,7.4,ready,2020-02-16 07:21:20.027840+00:00,extern,M,2020-02-16 07:21:20.029696+00:00,desi_writer,6.9,8.733,49414,4466871,2020-02-16 07:18:54,18.6,250.2,14.0,793.4,8.2,-17.8,26.0,99.9,2020-02-16 07:21:17.608349+00:00,extern,M,2020-02-16 07:21:17.609632+00:00,desi_writer,49414,857392,1,1,1,0,1,-10.0,2.0,2.651,2020-02-16T07:28:56.441433,2020-02-16 07:28:56.443184+00:00,extern,M,2020-02-16 07:28:56.445031+00:00,desi_writer,49414,9171,767.021,49413.0,,73.0,0.009,-0.021,0.01,0.007,0.001,0.241,0.137,2020-02-16 07:19:23.563917+00:00,desi_20200215,M,2020-02-16 07:19:23.564578+00:00,desi_writer,49414,86045,0.175232844485586,-0.938360854210748,2020-02-16 07:22:33.700984+00:00,desi_20200215,M,2020-02-16 07:22:33.701569+00:00,desi_writer,49414
47678.0,878.8657462889313,220.1512859243181,115.97344086174968,220.1512859243181,193.21749403198456,26.1725046566048,16.16144734971839,26.1725046566048,4421998,2020-02-13 05:30:45,4.323,3.0,40.0,3.458,-7.82,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.3,4.4,4.5,4.4,4.3,4.4,4.3,4.3,4.3,4.3,4.4,4.2,4.5,4.4,4.4,4.3,7.0,7.2,7.1,7.1,4.2,4.4,4.3,4.3,3.8,4.4,4.5,3.8,4.8,4.8,4.7,4.9,4.2,3.7,4.7,4.8,21.7,21.6,21.6,21.6,21.7,4.2,4.3,4.0,3.9,10.6,4.6,4.6,ready,2020-02-13 05:30:45.527802+00:00,extern,M,2020-02-13 05:30:45.529747+00:00,desi_writer,4.35,4.8,48318,4421991,2020-02-13 05:27:45,9.8,298.2,29.5,789.4,3.4,-12.8,16.2,99.9,2020-02-13 05:30:40.478816+00:00,extern,M,2020-02-13 05:30:40.480333+00:00,desi_writer,48318,848512,1,1,1,0,1,-10.0,2.0,2.639,2020-02-13T05:17:28.002292,2020-02-13 05:17:28.003856+00:00,extern,M,2020-02-13 05:17:28.006251+00:00,desi_writer,48318,9027,188.411,48318.0,0.22,18.0,0.01,0.068,0.005,0.001,0.0,0.147,0.135,2020-02-13 05:33:25.274026+00:00,desi_20200212,M,2020-02-13 05:33:25.274763+00:00,desi_writer,48318,82340,0.235177725211741,0.613482626614197,2020-02-13 05:30:26.881725+00:00,desi_20200212,M,2020-02-13 05:30:26.882404+00:00,desi_writer,48318
47774.0,1188.5407018693136,223.48929744837292,120.433034850519,223.48929744837292,1087.1729393247424,8.06225774829855,19.06000017201934,8.06225774829855,4132258,2020-01-24 03:50:38,7.841,4.0,40.0,9.398,-2.277,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,7.5,7.7,7.6,7.4,7.4,7.1,7.0,6.9,7.8,7.8,7.8,7.8,7.9,7.8,7.8,7.7,6.7,7.2,9.9,9.7,10.2,10.1,10.1,10.0,9.6,9.5,9.7,9.2,10.3,10.5,10.8,10.7,10.3,9.8,10.2,8.5,21.7,21.6,21.6,21.6,21.7,7.8,9.5,6.8,6.8,10.6,9.1,7.3,ready,2020-01-24 03:50:38.122809+00:00,extern,M,2020-01-24 03:50:38.124530+00:00,desi_writer,7.8,10.667,43422,4132251,2020-01-24 03:48:26,16.1,114.0,86.3,790.4,9.6,-9.1,18.7,99.9,2020-01-24 03:50:33.063668+00:00,extern,M,2020-01-24 03:50:33.064791+00:00,desi_writer,43422,790912,1,1,1,0,1,-10.0,0.5,2.177,2020-01-24T04:03:55.929325,2020-01-24 04:03:55.929953+00:00,extern,M,2020-01-24 04:03:55.930506+00:00,desi_writer,43422,8190,,,,,,,,,,,,2020-01-24 03:48:23.412090+00:00,desi_20200123,M,2020-01-24 03:48:23.412905+00:00,desi_writer,43422,62775,1.63757959314242,-4.02667150709265,2020-01-24 03:29:16.141337+00:00,desi_20200123,M,2020-01-24 03:29:16.142788+00:00,desi_writer,43422
47762.0,971.4834018139477,225.0955021460867,123.34728782447799,225.0955021460867,1666.4000120019202,6.324555320336759,27.79554245356274,6.324555320336759,4467058,2020-02-16 07:39:11,6.991,3.3,40.0,7.21,-10.943,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,6.8,7.0,7.0,6.8,7.0,6.8,6.6,6.6,7.1,7.0,6.9,7.0,7.2,7.0,7.1,6.9,9.6,9.5,9.7,9.8,7.6,7.5,7.7,7.6,7.5,7.7,7.8,7.1,8.2,8.5,8.3,8.6,8.1,7.4,8.6,7.5,21.7,21.6,21.6,21.6,21.7,7.5,8.1,6.7,6.6,10.6,8.2,7.2,ready,2020-02-16 07:39:12.324848+00:00,extern,M,2020-02-16 07:39:12.326866+00:00,desi_writer,7.025,8.467,49415,4467051,2020-02-16 07:37:33,18.3,246.6,13.7,793.4,8.2,-18.1,26.3,99.9,2020-02-16 07:39:07.254993+00:00,extern,M,2020-02-16 07:39:07.256173+00:00,desi_writer,49415,857392,1,1,1,0,1,-10.0,2.0,2.651,2020-02-16T07:28:56.441433,2020-02-16 07:28:56.443184+00:00,extern,M,2020-02-16 07:28:56.445031+00:00,desi_writer,49415,9172,766.361,49414.0,,75.0,-0.005,-0.008,0.006,0.005,-0.001,0.165,0.141,2020-02-16 07:35:09.919519+00:00,desi_20200215,M,2020-02-16 07:35:09.920254+00:00,desi_writer,49415,86120,0.491049811510162,0.0385102947781987,2020-02-16 07:38:30.750760+00:00,desi_20200215,M,2020-02-16 07:38:30.751337+00:00,desi_writer,49415
