PETAL_LOC,DEVICE_LOC,TARGET_RA,TARGET_DEC,FIBERASSIGN_X,FIBERASSIGN_Y,OFFSET_0,OFFSET_FINAL,EXPID,PETAL,DEVICE,DEVICE_TYPE,LOCATION,FIBER,X,Y,Z,Q,S,SPECTRO,SLIT,SLITBLOCK,BLOCKFIBER,POSITIONER,SPECTROGRAPH,date_obs,petal_id,device_loc,pos_id,pos_move_index,time_recorded,bus_id,pos_t,pos_p,last_meas_obs_x,last_meas_obs_y,last_meas_peak,last_meas_fwhm,total_move_sequences,total_cruise_moves_t,total_cruise_moves_p,total_creep_moves_t,total_creep_moves_p,ctrl_enabled,move_cmd,move_val1,move_val2,log_note,exposure_id,exposure_iter,flags,obs_x,obs_y,ptl_x,ptl_y,ptl_z,site
5,435,34.77863487571152,29.33629143058017,-76.873856,345.88678,,,43417,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-24 03:06:05.659069+00:00,10,435,M04804,2945,2020-01-24 03:04:34.399998+00:00,can22,-124.036673937366,141.410030242856,306.160948970795,178.255245644509,0.969006513319661,2.054,7112,2604,2478,20246,20372,True,,,,,,,,,,,,,kpno
5,435,34.77863487571152,29.33629143058017,-76.873856,345.88678,,,43419,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-24 03:22:06.803860+00:00,10,435,M04804,2946,2020-01-24 03:17:44.804976+00:00,can22,-124.036673937366,141.410030242856,306.160948970795,178.255245644509,0.969006513319661,2.054,7112,2604,2478,20246,20372,True,,,,,,,,,,,,,kpno
5,435,34.77863487571152,29.33629143058017,-76.873856,345.88678,,,43422,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-24 03:49:31.524085+00:00,10,435,M04804,2949,2020-01-24 03:47:21.458882+00:00,can22,-124.036673937366,141.410030242856,306.160948970795,178.255245644509,0.969006513319661,2.054,7112,2604,2478,20246,20372,True,,,,,,,,,,,,,kpno
5,435,105.37301862751535,39.359870092573246,-73.33526,341.40018,,,43424,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-24 04:11:12.774417+00:00,10,435,M04804,2950,2020-01-24 04:29:43.247809+00:00,can22,-124.036673937366,141.410030242856,306.160948970795,178.255245644509,0.969006513319661,2.054,7112,2604,2478,20246,20372,True,,,,,,,,,,,,,kpno
5,435,105.37349658694112,39.36041719162542,-73.42997,341.5475,,,43462,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-24 06:42:18.665727+00:00,10,435,M04804,2957,2020-01-24 06:32:37.747196+00:00,can22,-124.036673937366,141.410030242856,306.160948970795,178.255245644509,0.969006513319661,2.054,7112,2604,2478,20246,20372,True,,,,,,,,,,,,,kpno
5,435,119.47149077613474,51.369934527087125,-74.972626,344.17398,,,43526,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-24 09:26:44.354988+00:00,10,435,M04804,2972,2020-01-24 09:05:40.221750+00:00,can22,-124.036673937366,141.410030242856,306.160948970795,178.255245644509,0.969006513319661,2.054,7112,2604,2478,20246,20372,True,,,,,,,,,,,,,kpno
5,435,122.39196716442414,40.86990006420485,-75.29432,344.13763,,,43524,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-24 09:08:07.536039+00:00,10,435,M04804,2972,2020-01-24 09:05:40.221750+00:00,can22,-124.036673937366,141.410030242856,306.160948970795,178.255245644509,0.969006513319661,2.054,7112,2604,2478,20246,20372,True,,,,,,,,,,,,,kpno
5,435,34.77863487571152,29.33629143058017,-76.873856,345.88678,0.1013903348450926,0.009899494936611667,43755,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-25 03:56:44.098815+00:00,10,435,M04804,3009,2020-01-25 03:56:26.864801+00:00,can22,10.9725672208906,120.107778046045,306.160948970795,178.255245644509,0.969006513319661,2.054,7116,2606,2479,20267,20394,True,,,,,,,,,,,,,kpno
5,435,34.77863487571152,29.33629143058017,-76.873856,345.88678,,,43740,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-25 02:36:42.215175+00:00,10,435,M04804,2995,2020-01-25 02:34:20.916464+00:00,can22,-124.036673937366,141.410030242856,306.160948970795,178.255245644509,0.969006513319661,2.054,7112,2604,2478,20246,20372,True,,,,,,,,,,,,,kpno
5,435,105.37349658694112,39.36041719162542,-73.42997,341.5475,0.10547511554864492,0.009219544457292887,43767,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-25 04:26:05.417162+00:00,10,435,M04804,3018,2020-01-25 04:25:40.312025+00:00,can22,140.699782899903,120.324460885551,-76.813,345.753,0.969006513319661,2.054,7120,2607,2479,20286,20414,True,,,,,,,,,,,,,kpno
5,435,105.37349658694112,39.36041719162542,-73.42997,341.5475,,,43813,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-25 05:49:21.574496+00:00,10,435,M04804,3031,2020-01-25 05:49:03.933689+00:00,can22,140.907276727063,120.367441749748,-73.411,341.36,0.969006513319661,2.054,7124,2607,2479,20306,20434,True,,,,,,,,,,,,,kpno
5,435,215.25326323695407,54.764026655861244,-72.21199,342.98077,0.08532877591996736,0.016401219466856725,43931,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-25 10:39:23.568571+00:00,10,435,M04804,3066,2020-01-25 10:39:09.449705+00:00,can22,-188.188604260591,133.131869157156,-73.884,345.371,0.969006513319661,2.054,7134,2610,2482,20367,20495,True,,,,,,,,,,,,,kpno
5,435,215.25326323695407,54.764026655861244,-72.21199,342.98077,0.09004998611882181,0.005385164807134504,43936,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-25 10:59:25.085216+00:00,10,435,M04804,3086,2020-01-25 10:59:10.168354+00:00,can22,-188.199571791455,133.101337922588,-72.182,342.751,0.969006513319661,2.054,7140,2610,2482,20403,20531,True,,,,,,,,,,,,,kpno
5,435,147.93477062360597,32.076579194384536,-71.75061,345.90225,,,43860,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-25 07:16:06.696196+00:00,10,435,M04804,3037,2020-01-25 07:15:54.538663+00:00,can22,-115.711306853183,128.170395329995,-73.411,341.36,0.969006513319661,2.054,7125,2608,2480,20313,20441,True,,,,,,,,,,,,,kpno
5,435,147.93477062360597,32.076579194384536,-71.75061,345.90225,,,43864,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-25 07:57:41.243527+00:00,10,435,M04804,3042,2020-01-25 07:57:28.413369+00:00,can22,-115.692039569233,128.042045576909,-73.411,341.36,0.969006513319661,2.054,7126,2608,2480,20321,20449,True,,,,,,,,,,,,,kpno
5,435,180.3470001817207,32.074889852766226,-73.887634,345.59128,0.13243866504914642,0.01345362404707371,43869,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-25 08:37:58.924029+00:00,10,435,M04804,3052,2020-01-25 08:37:44.333383+00:00,can22,-82.510812408739,162.55123323123,-71.73,345.604,0.969006513319661,2.054,7129,2609,2481,20340,20468,True,,,,,,,,,,,,,kpno
5,435,37.44682504447938,1.7256128275705525,-75.01774,345.57407,,,44086,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-26 04:38:27.301209+00:00,10,435,M04804,3115,2020-01-26 04:38:08.985604+00:00,can22,-31.9570163593564,157.305492860859,-72.187,342.749,0.969006513319661,2.054,7144,2611,2483,20422,20550,True,,,,,,,,,,,,,kpno
5,435,37.44682504447938,1.7256128275705525,-75.01774,345.57407,,,44088,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-26 04:56:22.558938+00:00,10,435,M04804,3119,2020-01-26 04:57:49.405849+00:00,can22,-31.9570163593564,157.305492860859,-72.187,342.749,0.969006513319661,2.054,7144,2611,2483,20422,20550,True,,,,,,,,,,,,,kpno
