PETAL_LOC,DEVICE_LOC,TARGET_RA,TARGET_DEC,FIBERASSIGN_X,FIBERASSIGN_Y,OFFSET_0,OFFSET_FINAL,EXPID,PETAL,DEVICE,DEVICE_TYPE,LOCATION,FIBER,X,Y,Z,Q,S,SPECTRO,SLIT,SLITBLOCK,BLOCKFIBER,POSITIONER,SPECTROGRAPH,date_obs,petal_id,device_loc,pos_id,pos_move_index,time_recorded,bus_id,pos_t,pos_p,last_meas_obs_x,last_meas_obs_y,last_meas_peak,last_meas_fwhm,total_move_sequences,total_cruise_moves_t,total_cruise_moves_p,total_creep_moves_t,total_creep_moves_p,ctrl_enabled,move_cmd,move_val1,move_val2,log_note,exposure_id,exposure_iter,flags,obs_x,obs_y,ptl_x,ptl_y,ptl_z,site
7,21,176.57790709234965,20.830994641485496,-86.14112,56.41794,0.0078102496759066544,0.011180339887498947,43043,7,21,POS,7021,3532,-84.80545873784794,55.185201634112204,-1.0811637336026592,146.94685995325244,101.18729389325931,7,7,1,7,7021,7,2020-01-23 12:23:18.377262+00:00,2,21,M03239,3264,2020-01-23 12:24:10.028665+00:00,can11,-17.4298177944022,146.135300380927,-86.032,56.35,0.55966312901426,2.115,11448,4137,4251,35072,34958,True,obsXY; ; ; ; (auto backlash backup); (auto final creep),-86.039; 3.00006; -3.00006,56.348; -3.00006; 3.00006,,,,,,,,,,kpno
7,21,122.43541564909812,39.73276496161768,-81.77771,56.754173,0.025632011235952594,4.108571162825345,43036,7,21,POS,7021,3532,-84.80545873784794,55.185201634112204,-1.0811637336026592,146.94685995325244,101.18729389325931,7,7,1,7,7021,7,2020-01-23 10:49:46.206468+00:00,2,21,M03239,3229,2020-01-23 10:50:38.697545+00:00,can11,-189.236188782057,114.576378529075,-81.7,56.685,0.55966312901426,2.115,11428,4127,4244,34933,34816,True,posintTP; ; ; ; ; ; (auto backlash backup); (auto final creep),-189.236; 3.00006; -3.00184,114.576; -3.00006; 3.00006,,,,,,,,,,kpno
7,21,122.43541564909812,39.73276496161768,-81.77771,56.754173,4.094483239677506,6.427187020773552,43037,7,21,POS,7021,3532,-84.80545873784794,55.185201634112204,-1.0811637336026592,146.94685995325244,101.18729389325931,7,7,1,7,7021,7,2020-01-23 10:59:56.051785+00:00,2,21,M03239,3232,2020-01-23 11:00:58.394025+00:00,can11,-189.236188782057,114.576378529075,-81.7,56.685,0.55966312901426,2.115,11429,4127,4244,34940,34823,True,posintTP; ; ; ; ; ; (auto final creep),-189.236; -0,114.576; -0,,,,,,,,,,kpno
7,21,176.57790709234965,20.830994641485496,-86.14112,56.41794,0.1539415473483361,0.01711724276862369,43042,7,21,POS,7021,3532,-84.80545873784794,55.185201634112204,-1.0811637336026592,146.94685995325244,101.18729389325931,7,7,1,7,7021,7,2020-01-23 12:13:15.074441+00:00,2,21,M03239,3257,2020-01-23 12:14:07.446777+00:00,can11,-17.3847619919331,146.134411121668,-81.7,56.685,0.55966312901426,2.115,11445,4137,4251,35058,34944,True,obsXY; ; ; ; ; ; (auto backlash backup); (auto final creep),-86.04; 3.00006; -3.00006,56.347; -3.00006; 3.00006,,,,,,,,,,kpno
7,21,122.43384779625784,39.73191729248409,-81.48273,56.545734,2.602204065787309,2.594206044245522,43022,7,21,POS,7021,3532,-84.80545873784794,55.185201634112204,-1.0811637336026592,146.94685995325244,101.18729389325931,7,7,1,7,7021,7,2020-01-23 06:52:13.515320+00:00,2,21,M03239,3206,2020-01-23 06:50:46.205706+00:00,can11,-75.8070203869952,120.666025936483,-83.504,58.001,0.55966312901426,2.115,11423,4123,4242,34910,34791,True,,,,,,,,,,,,,kpno
7,21,122.43384779625784,39.73191729248409,-81.48273,56.545734,2.594403399627745,2.615214140371683,43023,7,21,POS,7021,3532,-84.80545873784794,55.185201634112204,-1.0811637336026592,146.94685995325244,101.18729389325931,7,7,1,7,7021,7,2020-01-23 07:02:46.344373+00:00,2,21,M03239,3207,2020-01-23 07:00:56.602820+00:00,can11,-75.8070203869952,120.666025936483,-83.504,58.001,0.55966312901426,2.115,11423,4123,4242,34910,34791,True,,,,,,,,,,,,,kpno
7,21,122.43384779625784,39.73191729248409,-81.48273,56.545734,5.806331457986188,5.7910103608955845,43027,7,21,POS,7021,3532,-84.80545873784794,55.185201634112204,-1.0811637336026592,146.94685995325244,101.18729389325931,7,7,1,7,7021,7,2020-01-23 08:06:38.867511+00:00,2,21,M03239,3214,2020-01-23 08:08:12.733213+00:00,can11,64.0364086253505,136.576356183397,-86.646,54.014,0.55966312901426,2.115,11424,4124,4243,34913,34794,True,,,,,,,,,,,,,kpno
7,21,122.43541564909812,39.73276496161768,-81.77771,56.754173,5.633074560131439,0.03026549190084311,43029,7,21,POS,7021,3532,-84.80545873784794,55.185201634112204,-1.0811637336026592,146.94685995325244,101.18729389325931,7,7,1,7,7021,7,2020-01-23 08:43:40.504734+00:00,2,21,M03239,3217,2020-01-23 08:44:32.349249+00:00,can11,-108.283954214156,111.752387541421,-86.617,54.014,0.55966312901426,2.115,11425,4125,4244,34919,34800,True,obsXY; ; ; ; ; (auto backlash backup); (auto final creep),-81.684; 3.00006; -3.00332,56.687; -3.00006; 3.00244,,,,,,,,,,kpno
7,21,105.42798128450309,38.22673120982559,-82.1186,55.24886,0.06977105417004963,0.009433981132056603,43426,7,21,POS,7021,3532,-84.80545873784794,55.185201634112204,-1.0811637336026592,146.94685995325244,101.18729389325931,7,7,1,7,7021,7,2020-01-24 04:45:25.828613+00:00,2,21,M03239,3323,2020-01-24 04:44:59.421672+00:00,can11,-142.52748247987,128.021318048171,-82.006,55.147,0.55966312901426,2.115,11458,4139,4253,35115,35001,True,,,,,,,,,,,,,kpno
7,21,105.42788511065545,38.22730810593452,-82.100174,55.389656,0.07357309290766564,0.0078102496759066544,43428,7,21,POS,7021,3532,-84.80545873784794,55.185201634112204,-1.0811637336026592,146.94685995325244,101.18729389325931,7,7,1,7,7021,7,2020-01-24 05:21:22.315524+00:00,2,21,M03239,3332,2020-01-24 05:21:05.179644+00:00,can11,-139.289096677401,127.49873002348,-82.005,55.157,0.55966312901426,2.115,11462,4139,4253,35135,35021,True,,,,,,,,,,,,,kpno
